样本ID,source_split,数据来源,音频路径,audio_exists_in_zip,原始标签,建议细分标签,映射训练场景,场景ID,场景名称,ASR状态,paraformer_hotword_status,paraformer_hotword_seconds,文本长度,质量评分(1-5),复核结论,建议接入,用途层级,风险标签,建议用途,AI精审结论,AI精审理由,AI建议用途,文本摘要,开场候选句,转写全文,备注/问题,处理日期,精品库序号
taf-0495,train,TeleAntiFraud公开数据集-HuggingFace/ModelScope镜像；本地Paraformer-zh热词转写；AI辅助复核,audio/NEG-multi-agent-3/tts_fraud_00989/tts_fraud_00989.mp3,True,客服诈骗,物流/快递诈骗,SC-07 物流快递诈骗,SC-07,物流快递诈骗,done,done,11.31,594,5,可直接用,是,L3 精品精审库,权威冒充；信息索取；时间压力,随机开场/客服类追问/报告案例,通过-精品,可直接进入精品库,开场白/追问话术/报告案例,您好，我是来自顺丰快递的客服。您最近有一个包裹，在这个运输过程中出现了问题，需要您配合处理一下。您好，我是工程师，小张，那我的包裹怎么了？能具体说一下吗？你好，小张先生，您的包裹在...,您好，我是来自顺丰快递的客服。您最近有一个包裹，在这个运输过程中出现了问题，需要您配合处理一下。,您好，我是来自顺丰快递的客服。您最近有一个包裹，在这个运输过程中出现了问题，需要您配合处理一下。您好，我是工程师，小张，那我的包裹怎么了？能具体说一下吗？你好，小张先生，您的包裹在海关检查时发现了疑似违禁品，需要您支付一笔罚款才能放心，否则包裹将没没收。这其实是非常紧急的情况，希望您尽快处理。这听起来不太对劲，我最近没有寄任何违禁品，而且这种情况一般是海关直接通知的。你们能提供具体的包裹信息和这个海关的联系信息吗？小张先生，我理解您的担忧，在这确实是一个误会。为了证明我们的正规性，我可以提供您的部分包裹信息。包裹编号是一二三四五六七八九零，寄件人是李华。您可以核对一下这些信息是否正确。为了不影响您的包裹，麻烦您先支付罚款，我们会帮您解决这个问题。您可以通过支付宝或这个微信转账，这个金额大概是一百。我明白你的意思，但我觉得还是需要更多证据来确认。这是真的。您能提供一个官方的联系号码或网站，让我自己去核实吗？嗯，直接转账的方式就是我有些不放心。小张先生，我理解您的顾虑，但我们确实需要尽快梳理这个问题，以免影响您的包裹。不过为了证明我们的正规型，您可以拨打这个电话，四零零一六八八八八，这是我们的官方客服电话，您可以进行核实。同时，为了不耽误时间，您可以先准备好一百元的罚款，等确认后再进行转账，这样可以吗？好的，我先打这个电话核实一下。如果这是真的，我会马上处理，谢谢您的配合。,包含典型风险触发词,2026-06-27,48
taf-0215,train,TeleAntiFraud公开数据集-HuggingFace/ModelScope镜像；本地Paraformer-zh热词转写；AI辅助复核,audio/NEG-multi-agent-3/tts_fraud_01436/tts_fraud_01436.mp3,True,银行诈骗,银行账户异常/身份验证诈骗,SC-13 银行账户异常诈骗,SC-13,银行账户异常诈骗,done,done,11.24,593,5,可直接用,是,L3 精品精审库,权威冒充；恐惧施压；信息索取；时间压力,随机开场/客服类追问/报告案例,通过-精品,可直接进入精品库,开场白/追问话术/报告案例,您好，我是您的银行客服代表李明，我们检测到您的账户可能有异常活动。为了确保您的资金安全，需要您配合我们进行一个简单的安全验证。请问您方便现在进行吗？先生您好，您明先生吗？谢谢您的提...,您好，我是您的银行客服代表李明，我们检测到您的账户可能有异常活动。为了确保您的资金安全，需要您配合我们进行一个简单的安全验证。,您好，我是您的银行客服代表李明，我们检测到您的账户可能有异常活动。为了确保您的资金安全，需要您配合我们进行一个简单的安全验证。请问您方便现在进行吗？先生您好，您明先生吗？谢谢您的提醒。不过我有点担心大家能否告诉我具体的异常活动是什么，这样我就可以更好的配合。您当然可以理解您的担心，我们发现有一笔可疑的转账，尝试金额是一千二百元，而且尝试转账的设备是我们记录中未曾出现过。为了您的安全，我们需要确认这是否是您的操作。那您最近是否有进行过这样的转账呢？你们有进行过这样的转账这信息来很不正常。那你们能确定是有人试图盗用我的账户吗？嗯，我应该怎么做？我们已经将这笔交易标记为可疑，并暂时冻结了您的账户，以防止进一步的损失。为了尽快恢复您的账户正常使用，我需要您提供一些信息进行身份验证。请您提供身份证号码的后各位及绑绑定的手机号码。这样我们可以尽快确认你们身份，我理解你们的做法。但在此之前，我需要确认一下您的身份，您能告诉我我的账户的后四位数字吗？这样我们可以更放心弟弟提供我们的信息。好的，您的账户后四位数字是一九八四，请您放心，我们非常重视客户的安全。现在您可以提供身份证号码的后六位以及手机号码了吗？这样我们就可以迅速解决问题，我仍然觉得有些不妥。你们通常不会通过电话要求客户提供这么敏感的信息。为了安全起见，我建议我们挂断电话，我直接去银行柜台处理这个问题。那这样就更安全不是吗？,包含典型风险触发词,2026-06-27,49
taf-0776,train,TeleAntiFraud公开数据集-HuggingFace/ModelScope镜像；本地Paraformer-zh热词转写；AI辅助复核,audio/NEG-multi-agent-2/tts_fraud_00057/tts_fraud_00057.mp3,True,身份盗窃,物流/快递诈骗,SC-07 物流快递诈骗,SC-07,物流快递诈骗,done,done,9.43,587,5,可直接用,是,L3 精品精审库,权威冒充；信息索取；时间压力,随机开场/客服类追问/报告案例,通过-精品,可直接进入精品库,开场白/追问话术/报告案例,您好，我是您的银行更方员李乔乔。我们刚刚检测到您的账户有异常活动，为了确保您的资金安全需要您配合，我们进行一个简单的身份验证。请您告诉我。那您的身份证号码是多少？你好，真的吗？我的...,您好，我是您的银行更方员李乔乔。我们刚刚检测到您的账户有异常活动，为了确保您的资金安全需要您配合，我们进行一个简单的身份验证。,您好，我是您的银行更方员李乔乔。我们刚刚检测到您的账户有异常活动，为了确保您的资金安全需要您配合，我们进行一个简单的身份验证。请您告诉我。那您的身份证号码是多少？你好，真的吗？我的账户有异常活动，那我得赶紧配合你们，我的身份证号码是等一下，我得先找找身份证。那你稍等一下，我马上给你。嗯，好的，您先别急，我理解您的情况。不过呢，为了尽快处理这个问题，麻烦您尽快找到身份证。我们好，马上开始验证您的账户，安全非常重要，希望您能理解。那好的，我在这里等着您。但为了加快处理速度，您可以先告诉我您最近是否有进行过大额转账，或者在不熟悉的网站上使用过银行卡，这有助于我们更快递排查问题。最近没有大额转账，然后也没有在不熟悉的网站上用过银行卡。就是前几天在那个镇上的小超市买了一些东西用的银行卡，这会不会有问题？这种情况确实有可能导致账户出现异常活动。为了确保您的资金安全，我们需要尽快完成身份证证。您找到身份证了吗？如果您不方便找到，也可以告诉我您的生日和家庭住址，然后我们也可以进行验证。原来嗯我找到了我的生日，是一九九八年十月十五日，家庭住址是城城省城市城市城、省城省村，那这样就可以了吗？好的，既然您暂时不方便找到身份证，那我们就先记录一下您的情况，那我们会尽快调查并联系你。如果你有任何疑问，可以随时拨打我们的客服热线，感谢您的配合，祝您一切顺利，再见。好的，谢谢你，再见。,包含典型风险触发词,2026-06-27,50
taf-0675,train,TeleAntiFraud公开数据集-HuggingFace/ModelScope镜像；本地Paraformer-zh热词转写；AI辅助复核,audio/NEG-multi-agent-3/tts_fraud_01522/tts_fraud_01522.mp3,True,投资诈骗,投资理财诈骗,SC-02 投资理财诈骗,SC-02,投资理财诈骗,done,done,7.58,586,5,可直接用,是,L3 精品精审库,权威冒充；利益诱导；时间压力；情感牵引,随机开场/客服类追问/报告案例,通过-精品,可直接进入精品库,开场白/追问话术/报告案例,嘿您好，我是来自财富增值顾问公司的小李，专注于帮助客户发现高收益的投资机会。今天给您打电话，是因为我们有一个特别的投资项目，回报率呢非常可观，但名额有限，所以呢想尽快与您分享这个机...,嘿您好，我是来自财富增值顾问公司的小李，专注于帮助客户发现高收益的投资机会。今天给您打电话，是因为我们有一个特别的投资项目，回报率呢非常可观，但名额有限，所以呢想尽快与您分享这个机会。,嘿您好，我是来自财富增值顾问公司的小李，专注于帮助客户发现高收益的投资机会。今天给您打电话，是因为我们有一个特别的投资项目，回报率呢非常可观，但名额有限，所以呢想尽快与您分享这个机会。您现在方便听一下吗？上林银行，我今天正好在家，有什么好的项目可以跟我说说，然后我觉得年纪大了，你也不在身边，然后如果有好的投资机会，我也想了解一下，太好了。阿姨，您真是个明智的人。这个项目是我们公司与国际知名金融公司合作的主要投资于高潜力的新兴产业，比如新能源和生物科技，初步估计年化收益可以达到百分之二十以上，非常可观。不过呢这个项目是有限，实的，名额也非常有限，所以呢我们需要尽快行动。嗯，我可以把这个详细资料发给您，您看可以吗？我了给你发过来，然后我看看资料，如果真的合适的话，我也可以考虑投资一些你发的资料上也会有详细的信息。哎呀，那我会马上把资料发到您的手机上，为了确保这个资料能够准确无误，并发送到您手上，能否麻烦您提供一下手机号码，这样我还能给您发个短信提醒，以免您漏掉这个宝贵的机会。哦。我的手机号是一三五六，连麦点点的连麦，你发过来吧，我收到后会仔细看一下您，然后谢谢你的推荐。阿姨，这个资料我已经发过去了，您注意查收一下。如果有任何问题的话，随时可以联系。我希望这个项目能给您带来满意的收益，祝您身体健康，心情快，再见。好的，小李，我会注意查收，谢谢你也准，你不喝水。,包含典型风险触发词,2026-06-27,51
taf-0677,train,TeleAntiFraud公开数据集-HuggingFace/ModelScope镜像；本地Paraformer-zh热词转写；AI辅助复核,audio/NEG-multi-agent-3/tts_fraud_01527/tts_fraud_01527.mp3,True,投资诈骗,投资理财诈骗,SC-02 投资理财诈骗,SC-02,投资理财诈骗,done,done,9.1,585,5,可直接用,是,L3 精品精审库,利益诱导；时间压力,随机开场/收益诱导话术/报告案例,通过-精品,可直接进入精品库,开场白/追问话术/报告案例,张总，您好，我是李经理。我们之前在投资峰会有见过面，然后我最近发现了一个非常有潜力的投资项目，利润率非常高，就是想第一时间跟您分享。然后您觉得现在方便吗？李经理，您好，您说的投资峰...,张总，您好，我是李经理。我们之前在投资峰会有见过面，然后我最近发现了一个非常有潜力的投资项目，利润率非常高，就是想第一时间跟您分享。,张总，您好，我是李经理。我们之前在投资峰会有见过面，然后我最近发现了一个非常有潜力的投资项目，利润率非常高，就是想第一时间跟您分享。然后您觉得现在方便吗？李经理，您好，您说的投资峰会是哪一次？我参加过好几次了，记不太清了，不过您能联系我，真是太好了。我这人对投资挺感兴趣的，您说的这个项目是什么？就可以详细介绍一下吗？我是去年的那次国际投资峰会，您穿着一件蓝色的西装，我们还一起交流过市场趋势。这次的项目呢是一个新兴的区块链投资基金，预期年化收益率能达到百分之二十以上，非常值得投资。您看那我们什么时候详细聊聊？哎，我想起来了，那次峰会确实挺热闹的。您说的这个项目听起来确实不错，我对区块链也有所了解，但还不太熟悉。投资基金这一块。那您能给我发一份详细的项目资料吗？我先看看，如果合适的话，我们再约一个时间详记得。对好的，张总，我这就把这个项目资料发给您。不过呢这个项目非常抢手，名额很有限。你如果有兴趣的话，最好尽快决定。我会把资料发到您的邮箱，您方便提供一下邮箱地址吗？好了，李经，你经发资料给我吧，我的邮箱是这里，谁NGH?因为阿姨嗯在一十一点嗯，在虽然不回去不上班，如果有什么问题，我会第一时间联系。您好的张总，这就把资料发给您。如果您有任何疑问就随时联系，我希望我们能尽快合作，做您一切顺利，再见。好的，李经理，谢谢您的资料，我会仔细研究，希望我们能合作成功。,包含典型风险触发词,2026-06-27,52
taf-0839,train,TeleAntiFraud公开数据集-HuggingFace/ModelScope镜像；本地Paraformer-zh热词转写；AI辅助复核,audio/NEG-multi-agent-2/tts_fraud_00235/tts_fraud_00235.mp3,True,彩票诈骗,电商客服退款诈骗,SC-08 冒充客服退款,SC-08,冒充客服退款,done,done,8.38,585,5,可直接用,是,L3 精品精审库,权威冒充；信息索取；时间压力,随机开场/客服类追问/报告案例,通过-精品,可直接进入精品库,开场白/追问话术/报告案例,你好，恭喜您。您在我们最近的国际彩票活动中获得了特等奖，金高达五百万元，请提供您的姓名和联系方式，以便我们尽快为您办理领奖手续。真的吗？我居然中了这么大的账，真的太不可思议了。不过...,你好，恭喜您。您在我们最近的国际彩票活动中获得了特等奖，金高达五百万元，请提供您的姓名和联系方式，以便我们尽快为您办理领奖手续。,你好，恭喜您。您在我们最近的国际彩票活动中获得了特等奖，金高达五百万元，请提供您的姓名和联系方式，以便我们尽快为您办理领奖手续。真的吗？我居然中了这么大的账，真的太不可思议了。不过呢我最近确实没有参加过什么彩票活动，这不会是诈骗吧。我最近好像失业了，然后有点担心这种情况，您不用担心。这是我们与多家知名企业联合举办的回馈活动。您可能是在某次购物或使用信用卡时，被自动纳入这个奖金是真实有效的。但我们现在需要您提供身份证号码和银行账户信息，以便核实身份并转账。哦。嗯不过我还是有点担心，毕竟这种事情听起来太不真实了。那你们能不能先给我看看获奖的证明或者其他什么文件，这样我更放心一些。所以这个获奖者我可以理解您的顾虑。不过，由于奖金金额较大，按照规定我们无法通过电话提供书面证明。为了避免您的奖金提供获奖奖吗？暴令，请您尽快提供身份信息，我们将在核实后立即为您办理时间紧迫，请您退款。我懂了。不过我还是觉得有点不太对劲，我最近确实是一个经济上有点困难，但这种事情还是得谨慎一些。你们能不能告诉我你们的公司名称和办公地址，然后我亲自去一趟确认一下，这样我就更放心。您的谨慎是可以理解的。但是我们的活动呢是通过电话和网络进行的，办公地点不方便对外公开。为了确保您的奖金安全，我们强烈建议您尽快提供手续性，否则我们能不能取消你们的资格，把小庭讲给下一位信，请问您能理解我们的规。,包含典型风险触发词,2026-06-27,53
taf-0659,train,TeleAntiFraud公开数据集-HuggingFace/ModelScope镜像；本地Paraformer-zh热词转写；AI辅助复核,audio/NEG-multi-agent-3/tts_fraud_00505/tts_fraud_00505.mp3,True,投资诈骗,投资理财诈骗,SC-02 投资理财诈骗,SC-02,投资理财诈骗,done,done,8.58,581,5,可直接用,是,L3 精品精审库,恐惧施压；利益诱导；时间压力,随机开场/收益诱导话术/报告案例,通过-精品,可直接进入精品库,开场白/追问话术/报告案例,您好，我是金融顾问张伟专门负责高收益投资项目的推荐。您对这方面有没有兴趣呢？啊，哎张伟，你好，投资听起来挺不错的，但我对这方面不太懂啊，那你能给我介绍一下吗？当然可以。那最近我们发...,您好，我是金融顾问张伟专门负责高收益投资项目的推荐。您对这方面有没有兴趣呢？,您好，我是金融顾问张伟专门负责高收益投资项目的推荐。您对这方面有没有兴趣呢？啊，哎张伟，你好，投资听起来挺不错的，但我对这方面不太懂啊，那你能给我介绍一下吗？当然可以。那最近我们发现了一个非常有潜力的投资项目，预计年化收益可以达到百分之二十以上，这是一个难得的机会，很多投资者都已经加入了。那您有没有兴趣了解一下？哇，年化收益这么高，听起来真的很诱人。不过我之前好像从来没有做过投资，会不会太冒险了，这个你能帮我分析一下。当然可以，这个是我的职责所担。这个项目经过我们团队的严格评估，风险非常。而且呢我们还提供专业的投资项目，确保您的资金安全。您可以先从小的投资开始，然后体验一下。那您觉得怎么样？这个这明说我感觉担心就多了。不过我还是有点担心，毕竟这是我的第一笔投资嘛。那你能不能给我一些具体的建议，让我更清楚一些。当然可以，我可以给您发送一份详细的投资计划书，其中就包含了项目的具体信息、预期收益以及风险控制措施。您呢只需要提供一个电子邮箱地址，我马上发给你。这样呢您也可以有更多的时间去了解和考虑，您看可以吗？是好的，听起来不错，我的邮箱是一XMPl一滴MAIlCOF.请把文件发给我吧，我会仔细看看的，谢谢你这么耐心这个地方。好的，这是我的建议。如果你有任何疑问，随时可以联系。我希望我们能尽快开始合作，祝您投资顺利。对，因为谢谢你的帮助，我会耗研究的。,包含典型风险触发词,2026-06-27,54
taf-0862,train,TeleAntiFraud公开数据集-HuggingFace/ModelScope镜像；本地Paraformer-zh热词转写；AI辅助复核,audio/NEG-multi-agent-2/tts_fraud_01413/tts_fraud_01413.mp3,True,彩票诈骗,彩票中奖诈骗,SC-05 虚假中奖,SC-05,虚假中奖,done,done,8.18,580,5,可直接用,是,L3 精品精审库,权威冒充；利益诱导；信息索取,随机开场/利益诱导话术/报告案例,通过-精品,可直接进入精品库,开场白/追问话术/报告案例,喂，您好，这里是国家福利彩票中心，恭喜您。您的彩票中了一等奖，奖金高达五百万元。那请问您能提供一下您的姓名和联系方式吗？我们需要核实您的身份，您要我这个消息听起来太突然了，我需要确...,喂，您好，这里是国家福利彩票中心，恭喜您。您的彩票中了一等奖，奖金高达五百万元。,喂，您好，这里是国家福利彩票中心，恭喜您。您的彩票中了一等奖，奖金高达五百万元。那请问您能提供一下您的姓名和联系方式吗？我们需要核实您的身份，您要我这个消息听起来太突然了，我需要确认一下。然有，您能告诉我我是哪一期的彩票中奖的吗？还有我需要提供哪些具体的资料来核实这个身份证。我以前也买过几次彩票，但从来没中过这么大的奖，所以想确保一下，当然可以理解您的谨慎。您是今年第十二期的彩票，中奖者中奖号码是一七三六九。为了核实您的身份，我们需要您的姓名、联系方式、身份证号码以及购买彩票的凭证。另外呢我们才能确保奖金能够准确无误递发放，给您，谢谢袁姐。不过呢，我刚刚翻了一下我的彩票没有找到这个号码，那您能再核实一下吗？另外呢我听说有些诈骗分子会冒充福利彩票中心。所以我想确认一下，您能提供一个官方的联系电话，或者网友姐让我自己去核实一下吗？这样我更放心一些。哎呀，这个号码是系统随机生成的，可能你没注意到我们这里确实有您的中奖记录。至于官方联系电话和网址呢，我们一般是不对外公布的，以免泄露重要信息。不过为了您的安全，您可以直接通过这个电话联系。我们我们有专门的客服人员可以帮您核实。您看这样可以，我理解您的这个顾虑，但还是觉得有点不放心。如果您不方便提供官方的联系电话或网址的话，我建议我还是亲自去一趟福利彩票中心，就当面核实一下。那这样更安全也更可靠。你觉得？,包含典型风险触发词,2026-06-27,55
taf-0230,train,TeleAntiFraud公开数据集-HuggingFace/ModelScope镜像；本地Paraformer-zh热词转写；AI辅助复核,audio/NEG-multi-agent-3/tts_fraud_01939/tts_fraud_01939.mp3,True,银行诈骗,银行账户异常/身份验证诈骗,SC-13 银行账户异常诈骗,SC-13,银行账户异常诈骗,done,done,11.38,575,5,可直接用,是,L3 精品精审库,权威冒充；恐惧施压；信息索取；时间压力,随机开场/客服类追问/报告案例,通过-精品,可直接进入精品库,开场白/追问话术/报告案例,您好，我是您的银行客户经理。李华，请问是张先生吗？我们监测到您的账户可能有异常活动，为了您的资金安全，需要您提供一些信息协助我们进行核实啊。李华先生，您好，我是张先生啊，不过呢我最...,您好，我是您的银行客户经理。李华，请问是张先生吗？,您好，我是您的银行客户经理。李华，请问是张先生吗？我们监测到您的账户可能有异常活动，为了您的资金安全，需要您提供一些信息协助我们进行核实啊。李华先生，您好，我是张先生啊，不过呢我最近没有发现账户有什么异常，您能具体说说是什么情况吗？我有点担心。张明先生，您好，非常理解您的担心。我们刚刚接到这个报告，就有人试图从您的账户中转出一笔钱，金额是五千六百元。为了确保您的资金安全，我们需要尽快确认您的身份信息。您可以告诉我您的出生日期和身份证后六位吗？这样我们可以立即采取行动保护您的账户。李华先生，嗯，谢谢您的提醒。那我对这个电话有些警惕，那您能告诉我我是通过哪个分行办理的业务吗？还有我最近有在用网上银行，是不是有人通过网上银行强制转账吗？我需要确认一下您的身份，毕竟这种事情关系，知道我的资金安全。张伟先生，您的担心，我非常的您是在我们中心支行办理的这个业务。嗯，而且您确实有使用网上银行的习惯。为了尽快处理这个问题呢，我们已经临时冻结了您的网上银行功能，防止资金被非法转出。请您提供一些基本信息，这样我们就可以立即解冻并确认您的账户安全。那您的身份证后六位是多少呢？李华先生，不过呢我还是觉得不放心。如果平时确实使用网上银行，但最近没有进行大额转账。你能告诉我这个尝试转账的具体时间吗？还有我是不是可以直接去银行柜台处理这个问题，这样我更放心一些。,包含典型风险触发词,2026-06-27,56
taf-0206,train,TeleAntiFraud公开数据集-HuggingFace/ModelScope镜像；本地Paraformer-zh热词转写；AI辅助复核,audio/NEG-multi-agent-3/tts_fraud_01108/tts_fraud_01108.mp3,True,银行诈骗,银行账户异常/身份验证诈骗,SC-13 银行账户异常诈骗,SC-13,银行账户异常诈骗,done,done,11.92,573,5,可直接用,是,L3 精品精审库,权威冒充；信息索取；时间压力,随机开场/客服类追问/报告案例,通过-精品,可直接进入精品库,开场白/追问话术/报告案例,您好，这里是建设银行客户服务中心，我是张经理。那我们检测到您的账户有异常交易，为了确保您的资金安全，需要您配合，我们进行一次安全验证。请问您现在方便吗？哦，张经理，您好，我最近确实...,您好，这里是建设银行客户服务中心，我是张经理。那我们检测到您的账户有异常交易，为了确保您的资金安全，需要您配合，我们进行一次安全验证。,"您好，这里是建设银行客户服务中心，我是张经理。那我们检测到您的账户有异常交易，为了确保您的资金安全，需要您配合，我们进行一次安全验证。请问您现在方便吗？哦，张经理，您好，我最近确实感觉这个账户有点不对劲，是不是真的出了什么问题，请该怎么配合合吗？是的，我们确实发现了几笔可疑的安全。为了您的账户安全，我们需要您提供一下开户时的证件号码和近制交易密码，以便我们进行核实。请您放心，这是标准的安全验证流程。好的，那我先找找我的证件。对了，张经理，您能告诉我具体是哪几笔交易吗？我有点担心。当然可以，但为了确保公司的安全，我需要您核实您的身，请您提供开户时的证件号码，这样我才能向您展示具体的交易记录，请您理解。好吧，那我这就去拿那个证件，等一下我马上就回来。您稍等一下。好的，我在这里等您嗯进行尽快。因为这个的问题需要及时复理，以免造成更大的损失。好的，我舅舅回来冰下的，我很快就来。好的，我在这里等你，请您务必尽快，我们的时间很宝贵，我回来了。然后这是我的证件号码。Xxxxxxxxxx,你现在可以告诉我具体的情况了吗？我真的很担心自己的钱。嗯，哼哼，感谢您的配合。我们已经记录了您的证件号码，我们会立即着手调查这些可疑交易，并确保您的账户安全。如有任何进展，我们会第一时间通知您，请您随时保持电话畅通。好的，谢谢您。张经理，我等一下链接器的消息。",包含典型风险触发词,2026-06-27,57
taf-0164,train,TeleAntiFraud公开数据集-HuggingFace/ModelScope镜像；本地Paraformer-zh热词转写；AI辅助复核,audio/NEG-multi-agent-2/tts_fraud_00760/tts_fraud_00760.mp3,True,银行诈骗,银行账户异常/身份验证诈骗,SC-13 银行账户异常诈骗,SC-13,银行账户异常诈骗,done,done,10.56,572,5,可直接用,是,L3 精品精审库,权威冒充；恐惧施压；信息索取；时间压力,随机开场/客服类追问/报告案例,通过-精品,可直接进入精品库,开场白/追问话术/报告案例,您好，我是来自工商银行的客服人，员工号零零三八五。我们监测到您的账户，有一些异常交易为确保您的资金安全，需要您配合，我们进行一次简单的身份验证。那请问您现在方便吗？哦，大概就这样，...,您好，我是来自工商银行的客服人，员工号零零三八五。我们监测到您的账户，有一些异常交易为确保您的资金安全，需要您配合，我们进行一次简单的身份验证。,您好，我是来自工商银行的客服人，员工号零零三八五。我们监测到您的账户，有一些异常交易为确保您的资金安全，需要您配合，我们进行一次简单的身份验证。那请问您现在方便吗？哦，大概就这样，那那需需要我做些什么呢？我最近确实没怎么用过，这张卡们说有异常交易，我就有担担心理解您担心理解解您安全。全们们可要先认认您身份份，您提供供下开户户时手机号码和身份证证四位数字性。我们好，进一步核实。这样呢可以尽快解决您的问题，避免资金损失。请的明明白，那我先确认一您的份份需要我的手机号码和身份证后四位，对吧？我这就找找这些信息。不过呢我好像记得之前银行都是通过短信或者网银通知的，这次怎么是电话通知？这也是为了确保沟通的安全性和及时性。我们这次的电话通知是特别紧急的情况，短信和网银通知可能会有延迟，请您放心，我们只会通过官方的客服号码联系您。现在您可以提供信息了吗？我们的时间比较紧张，需要尽快处理。好的，我理解你们的经济生活。嗯，不过呢我还是想再确认一下，你们的官方客服号码是多少，我就可以回拨确认一下，这样我们更放心一些，语气变得急促，您不用回拨了，我们现在时间很紧张，系统性的监控您的账户冻单每拖延一分钟，您的资金损失风险就增加一分。请您立即提供手机号和身份证后四位，我们好，尽快为您处理。我已经多次强调，这是经济情况了，您这样拖延会严重影响处理效率的。,包含典型风险触发词,2026-06-27,58
taf-0527,train,TeleAntiFraud公开数据集-HuggingFace/ModelScope镜像；本地Paraformer-zh热词转写；AI辅助复核,audio/NEG-multi-agent-3/tts_fraud_01739/tts_fraud_01739.mp3,True,客服诈骗,银行账户异常/身份验证诈骗,SC-13 银行账户异常诈骗,SC-13,银行账户异常诈骗,done,done,11.52,572,5,可直接用,是,L3 精品精审库,权威冒充；信息索取；时间压力,随机开场/客服类追问/报告案例,通过-精品,可直接进入精品库,开场白/追问话术/报告案例,您好，这里是您的银行客服中心，我是您的专属客服。小李，我们检测到您的这个账户有异常互动。为了保障您的资金安全，需要您配合我们进行身份验证。请问您现在方便吗？小李，我最近确实没怎么用...,您好，这里是您的银行客服中心，我是您的专属客服。小李，我们检测到您的这个账户有异常互动。,您好，这里是您的银行客服中心，我是您的专属客服。小李，我们检测到您的这个账户有异常互动。为了保障您的资金安全，需要您配合我们进行身份验证。请问您现在方便吗？小李，我最近确实没怎么用这个账户，你说的这个异常活动是什么意思，我就先了解一下，非常理解您的担心。我们发现有人尝试登录您的账号，并且有几笔疑似欺诈的转账请求。为了您的安全，我们需要尽快确认您的身份。请问您能提供一下身份证号码和开户时预留的电话号码吗？这样我们可以快速核实并解决问题。哎呀，事真让人担心。请问你说的这些信息，我觉得也得谨慎一些，万一真是骗子怎么办？那你们银行是不是可以先给我个电话，然后我确认一下你们的身份。您的谨慎是正确的，但为了您的安全，我们不能通过电话联系您，因为这可能会被监控。我向您保证，我是银银行的客服代表。为了尽快解决这个问题，您只需要告诉我身份证号码后四位和开户时预留的电话号码，这样我们就可以进行下一步了。这个时间紧迫，我们是要尽快行动，我明白你的意思，但这些信息太重要了，我得再考虑。要不这样，我明天去银行一趟，当面处理这个问题，这样更安全。一都明白你的户口，那我们可以先挂断电话，稍后我会通过官方渠道给您发送一条确认信息，请您留意短信，我们会尽快处理这个问题，希望您理解我们的工作流程，祝您一切顺利，再见。好的，那我就等你们的短信，谢谢你的理解和帮助。,包含典型风险触发词,2026-06-27,59
taf-0803,train,TeleAntiFraud公开数据集-HuggingFace/ModelScope镜像；本地Paraformer-zh热词转写；AI辅助复核,audio/NEG-multi-agent-3/tts_fraud_00280/tts_fraud_00280.mp3,True,身份盗窃,公检法/身份核验诈骗,SC-01 冒充公检法,SC-01,冒充公检法,done,done,8.19,571,5,可直接用,是,L3 精品精审库,权威冒充；信息索取；时间压力,随机开场/权威恐吓话术/报告案例,通过-精品,可直接进入精品库,开场白/追问话术/报告案例,喂，您好，我是张警官，非常紧急。您的子小明现在被我们扣押了，他涉嫌一起严重的案件，我们需要您马上支付一笔保证金，否则呢，他将面临严重的法律后果。您能听清楚我说的话吗？张警官，您能再...,喂，您好，我是张警官，非常紧急。您的子小明现在被我们扣押了，他涉嫌一起严重的案件，我们需要您马上支付一笔保证金，否则呢，他将面临严重的法律后果。,喂，您好，我是张警官，非常紧急。您的子小明现在被我们扣押了，他涉嫌一起严重的案件，我们需要您马上支付一笔保证金，否则呢，他将面临严重的法律后果。您能听清楚我说的话吗？张警官，您能再说一遍吗？我子小明怎么会被扣押了，这太出来了，我需要了解一下这个具体情况况时非常紧紧迫，只只能单单说下下小明被准入。一一重大大件件们现在需要一笔紧紧保保证请来，确保他的安全和尽快释放。请您不要拖延，那转账完成后，我会立即安排释放他。您可以信任我，我是张警官肖警官，我理解情况很紧急，但是我需要确认一下，就是您能告诉我具体的案件细节吗？嗯，还有什么嗯，我可以联系小明吗？他现在还好，我现在实在没有时间。细说案件非常复杂，就涉及到国家安全，您可以相信我。小明现在是安全的，但时间拖得越久，对他的安全就越不利。请您现在就转账金额是一万元，账号是六万二吧，四百零零零零零零转账完成后就马上处理，释放他的手速申请了吗？我理解的那几个，哎，我还确要确定一下，您能给我一个警局的电话号码，让我核实一下你的身份证，这样我也可以更放心去处理这件事。哎，语气突然变得严厉，您这真的是在浪费宝贝的时间。如果你不立即配合，那我就只能遗憾地告诉你，小明将面临更严重的后果，你要为他的安全负责。我最后一次提醒您，转账账号是六二的，二八四八零零零零零零零零零零零，金额一万，没有时间再解释了。,包含典型风险触发词,2026-06-27,60
